Name,Team,xMLBAMID,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,xAVG,SLG,xSLG
Junior Caminero,TBR,691406,154.0,602.0,653.0,159.0,86.0,28.0,0.0,45.0,93.0,110.0,41.0,1.0,125.0,3.0,7.0,0.0,31.0,7.0,1.0,0.264,0.269,0.535,0.52
Vinnie Pasquantino,KCR,686469,160.0,621.0,682.0,164.0,98.0,33.0,1.0,32.0,72.0,113.0,49.0,5.0,107.0,7.0,5.0,0.0,14.0,1.0,0.0,0.264,0.271,0.475,0.479
Elly De La Cruz,CIN,682829,162.0,629.0,699.0,166.0,106.0,31.0,7.0,22.0,102.0,86.0,67.0,10.0,181.0,2.0,1.0,0.0,14.0,37.0,8.0,0.264,0.26,0.44,0.436
Jackson Merrill,SDP,701538,115.0,440.0,483.0,116.0,69.0,25.0,6.0,16.0,59.0,67.0,33.0,1.0,108.0,4.0,5.0,1.0,4.0,1.0,2.0,0.264,0.279,0.457,0.515
Christian Yelich,MIL,592885,150.0,573.0,644.0,151.0,101.0,21.0,0.0,29.0,88.0,103.0,64.0,6.0,167.0,6.0,1.0,0.0,6.0,16.0,6.0,0.264,0.255,0.452,0.459
Isaac Collins,MIL,686555,130.0,372.0,441.0,98.0,64.0,22.0,3.0,9.0,56.0,54.0,57.0,0.0,93.0,6.0,3.0,3.0,8.0,16.0,7.0,0.263,0.251,0.411,0.36
Juan Soto,NYM,665742,160.0,577.0,715.0,152.0,88.0,20.0,1.0,43.0,120.0,105.0,127.0,13.0,137.0,3.0,6.0,1.0,17.0,38.0,4.0,0.263,0.3,0.525,0.628
Trevor Story,BOS,596115,157.0,612.0,654.0,161.0,107.0,29.0,0.0,25.0,91.0,96.0,33.0,1.0,176.0,7.0,1.0,1.0,3.0,31.0,1.0,0.263,0.256,0.433,0.428
Xander Bogaerts,SDP,593428,136.0,491.0,552.0,129.0,88.0,30.0,0.0,11.0,63.0,53.0,48.0,3.0,94.0,4.0,8.0,1.0,12.0,20.0,2.0,0.263,0.277,0.391,0.425
Mike Tauchman,CHW,643565,93.0,335.0,385.0,88.0,61.0,17.0,1.0,9.0,44.0,40.0,45.0,0.0,86.0,4.0,1.0,0.0,5.0,0.0,0.0,0.263,0.25,0.4,0.385
Noelvi Marte,CIN,682622,90.0,339.0,360.0,89.0,56.0,17.0,2.0,14.0,45.0,51.0,16.0,0.0,85.0,3.0,2.0,0.0,7.0,10.0,3.0,0.263,0.254,0.448,0.432
Brandon Nimmo,NYM,607043,155.0,587.0,652.0,154.0,102.0,27.0,0.0,25.0,81.0,92.0,50.0,1.0,141.0,7.0,7.0,1.0,8.0,13.0,1.0,0.262,0.262,0.436,0.434
Isiah Kiner-Falefa,TOR,643396,138.0,431.0,459.0,113.0,88.0,21.0,2.0,2.0,45.0,40.0,17.0,0.0,77.0,5.0,1.0,5.0,9.0,15.0,4.0,0.262,0.249,0.334,0.311
Myles Straw,TOR,664702,137.0,267.0,299.0,70.0,51.0,14.0,1.0,4.0,51.0,32.0,19.0,0.0,50.0,1.0,1.0,11.0,5.0,12.0,1.0,0.262,0.258,0.367,0.375
Miguel Rojas,LAD,500743,114.0,290.0,317.0,76.0,51.0,18.0,0.0,7.0,35.0,27.0,24.0,1.0,46.0,0.0,0.0,3.0,7.0,5.0,0.0,0.262,0.255,0.397,0.366
Brent Rooker,ATH,667670,162.0,626.0,699.0,164.0,91.0,40.0,3.0,30.0,92.0,89.0,65.0,4.0,155.0,5.0,2.0,0.0,13.0,6.0,1.0,0.262,0.275,0.479,0.509
Bryce Harper,PHI,547180,132.0,501.0,580.0,131.0,72.0,32.0,0.0,27.0,72.0,75.0,70.0,6.0,121.0,6.0,3.0,0.0,5.0,12.0,2.0,0.261,0.28,0.487,0.512
